date,bdi_proxy,vlsfo_price_usd_mt,usd_inr,vessel_supply_index,data_source,is_synthetic
2020-01-01,1883.3,574.05,84.0,119.9,DEMO_DATA,True
2020-01-02,1889.9,560.87,83.9,120.3,DEMO_DATA,True
2020-01-03,1884.9,557.07,83.38,118.8,DEMO_DATA,True
2020-01-04,1905.8,554.49,83.05,117.5,DEMO_DATA,True
2020-01-05,1909.8,537.27,83.24,116.6,DEMO_DATA,True
2020-01-06,1927.5,535.84,83.26,116.2,DEMO_DATA,True
2020-01-07,1959.3,533.13,82.88,114.3,DEMO_DATA,True
2020-01-08,1898.5,525.11,82.98,112.5,DEMO_DATA,True
2020-01-09,1873.3,529.35,82.41,111.4,DEMO_DATA,True
2020-01-10,1864.0,528.75,82.36,111.2,DEMO_DATA,True
2020-01-11,1896.5,522.84,82.47,110.2,DEMO_DATA,True
2020-01-12,1844.6,525.79,82.6,109.0,DEMO_DATA,True
2020-01-13,1856.2,529.81,82.37,108.8,DEMO_DATA,True
2020-01-14,1797.7,534.79,81.98,109.7,DEMO_DATA,True
2020-01-15,1796.8,542.64,82.09,109.1,DEMO_DATA,True
2020-01-16,1784.2,546.69,82.26,110.8,DEMO_DATA,True
2020-01-17,1791.6,542.09,82.38,110.7,DEMO_DATA,True
2020-01-18,1758.5,544.06,82.28,110.4,DEMO_DATA,True
2020-01-19,1746.8,554.51,82.04,110.0,DEMO_DATA,True
2020-01-20,1759.2,557.67,81.58,109.7,DEMO_DATA,True
2020-01-21,1764.9,555.33,81.66,110.3,DEMO_DATA,True
2020-01-22,1758.1,554.58,81.69,110.6,DEMO_DATA,True
2020-01-23,1735.6,550.51,81.84,112.3,DEMO_DATA,True
2020-01-24,1736.3,557.71,81.68,111.4,DEMO_DATA,True
2020-01-25,1806.9,543.17,81.51,111.4,DEMO_DATA,True
2020-01-26,1889.3,536.96,81.68,110.2,DEMO_DATA,True
2020-01-27,1888.8,520.42,81.44,108.0,DEMO_DATA,True
2020-01-28,1918.8,524.81,81.66,108.6,DEMO_DATA,True
2020-01-29,1886.4,527.46,81.91,109.3,DEMO_DATA,True
2020-01-30,1876.8,539.93,81.69,108.4,DEMO_DATA,True
2020-01-31,1842.6,548.41,81.46,109.2,DEMO_DATA,True
2020-02-01,1867.6,538.76,81.4,107.8,DEMO_DATA,True
2020-02-02,1850.1,530.74,81.03,108.1,DEMO_DATA,True
2020-02-03,1882.9,535.89,80.89,109.6,DEMO_DATA,True
2020-02-04,2209.3,523.86,80.95,110.0,DEMO_DATA,True
2020-02-05,2180.0,537.26,80.84,110.0,DEMO_DATA,True
2020-02-06,2147.7,533.9,80.79,109.8,DEMO_DATA,True
2020-02-07,2136.6,538.85,80.38,109.4,DEMO_DATA,True
2020-02-08,2130.8,536.67,80.39,109.4,DEMO_DATA,True
2020-02-09,2145.0,522.54,80.41,109.8,DEMO_DATA,True
2020-02-10,2139.6,518.78,80.19,109.1,DEMO_DATA,True
2020-02-11,2095.0,513.03,79.89,107.1,DEMO_DATA,True
2020-02-12,2080.9,505.38,79.55,106.9,DEMO_DATA,True
2020-02-13,2040.6,502.21,80.1,106.1,DEMO_DATA,True
2020-02-14,1996.8,510.41,79.95,105.8,DEMO_DATA,True
2020-02-15,1978.4,517.69,79.97,105.2,DEMO_DATA,True
2020-02-16,2042.0,519.21,79.82,104.8,DEMO_DATA,True
2020-02-17,2007.3,520.39,79.55,98.6,DEMO_DATA,True
2020-02-18,1986.9,527.33,79.45,98.1,DEMO_DATA,True
2020-02-19,1971.7,520.12,79.49,98.9,DEMO_DATA,True
2020-02-20,1958.8,517.92,79.71,98.7,DEMO_DATA,True
2020-02-21,1891.1,521.26,79.43,98.2,DEMO_DATA,True
2020-02-22,1912.0,520.36,78.94,99.0,DEMO_DATA,True
2020-02-23,1865.0,521.42,78.89,97.7,DEMO_DATA,True
2020-02-24,1865.1,518.4,78.64,98.6,DEMO_DATA,True
2020-02-25,1867.7,530.69,78.51,97.9,DEMO_DATA,True
2020-02-26,1864.5,530.35,78.48,98.7,DEMO_DATA,True
2020-02-27,1843.0,539.18,78.44,98.0,DEMO_DATA,True
2020-02-28,1857.1,542.66,78.19,98.0,DEMO_DATA,True
2020-02-29,1839.7,543.83,77.75,97.1,DEMO_DATA,True
2020-03-01,1848.6,534.31,77.73,97.9,DEMO_DATA,True
2020-03-02,1891.0,538.63,77.62,97.8,DEMO_DATA,True
2020-03-03,1935.1,540.12,77.52,97.6,DEMO_DATA,True
2020-03-04,1941.1,534.6,77.6,98.9,DEMO_DATA,True
2020-03-05,1873.3,541.14,77.57,98.3,DEMO_DATA,True
2020-03-06,1889.1,532.27,77.51,98.8,DEMO_DATA,True
2020-03-07,1915.9,536.82,77.6,98.3,DEMO_DATA,True
2020-03-08,1589.0,542.61,77.61,99.4,DEMO_DATA,True
2020-03-09,1559.9,527.28,77.72,98.5,DEMO_DATA,True
2020-03-10,1587.6,520.77,78.06,99.9,DEMO_DATA,True
2020-03-11,1637.6,520.79,78.16,97.8,DEMO_DATA,True
2020-03-12,1703.6,650.23,78.22,98.9,DEMO_DATA,True
2020-03-13,1680.5,663.55,78.37,98.7,DEMO_DATA,True
2020-03-14,1693.2,668.77,78.53,99.8,DEMO_DATA,True
2020-03-15,1706.3,666.07,78.36,98.9,DEMO_DATA,True
2020-03-16,1707.6,663.54,78.7,99.8,DEMO_DATA,True
2020-03-17,1726.5,649.93,78.57,100.8,DEMO_DATA,True
