date,route_id,origin,destination,cargo_type,vessel_type,freight_rate_usd_mt,distance_nm,data_source,is_synthetic
2020-01-01,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,13.18,4800,DEMO_DATA,True
2020-01-02,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.55,4800,DEMO_DATA,True
2020-01-03,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.7,4800,DEMO_DATA,True
2020-01-04,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.51,4800,DEMO_DATA,True
2020-01-05,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.7,4800,DEMO_DATA,True
2020-01-06,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.93,4800,DEMO_DATA,True
2020-01-07,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.89,4800,DEMO_DATA,True
2020-01-08,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.91,4800,DEMO_DATA,True
2020-01-09,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.01,4800,DEMO_DATA,True
2020-01-10,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.97,4800,DEMO_DATA,True
2020-01-11,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.64,4800,DEMO_DATA,True
2020-01-12,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.7,4800,DEMO_DATA,True
2020-01-13,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.99,4800,DEMO_DATA,True
2020-01-14,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.01,4800,DEMO_DATA,True
2020-01-15,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.73,4800,DEMO_DATA,True
2020-01-16,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.8,4800,DEMO_DATA,True
2020-01-17,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.09,4800,DEMO_DATA,True
2020-01-18,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.61,4800,DEMO_DATA,True
2020-01-19,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.63,4800,DEMO_DATA,True
2020-01-20,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.94,4800,DEMO_DATA,True
2020-01-21,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.84,4800,DEMO_DATA,True
2020-01-22,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.73,4800,DEMO_DATA,True
2020-01-23,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.94,4800,DEMO_DATA,True
2020-01-24,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.02,4800,DEMO_DATA,True
2020-01-25,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.71,4800,DEMO_DATA,True
2020-01-26,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,11.81,4800,DEMO_DATA,True
2020-01-27,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,14.05,4800,DEMO_DATA,True
2020-01-28,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,14.17,4800,DEMO_DATA,True
2020-01-29,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,14.17,4800,DEMO_DATA,True
2020-01-30,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,14.34,4800,DEMO_DATA,True
2020-01-31,AU_COAL_PARADIP,Australia,paradip,coal,Capesize,12.3,4800,DEMO_DATA,True
