date,port_id,avg_waiting_time_hrs,congestion_level,berths_occupied_pct,vessels_at_anchor,data_source,is_synthetic
2020-01-01,paradip,29.1,medium,63.3,3,DEMO_DATA,True
2020-01-02,paradip,16.4,low,53.1,2,DEMO_DATA,True
2020-01-03,paradip,20.3,low,56.2,2,DEMO_DATA,True
2020-01-04,paradip,20.3,low,56.2,2,DEMO_DATA,True
2020-01-05,paradip,21.3,low,57.0,2,DEMO_DATA,True
2020-01-06,paradip,20.1,low,56.1,2,DEMO_DATA,True
2020-01-07,paradip,18.6,low,54.9,2,DEMO_DATA,True
2020-01-08,paradip,20.9,low,56.8,2,DEMO_DATA,True
2020-01-09,paradip,26.8,medium,61.5,3,DEMO_DATA,True
2020-01-10,paradip,19.5,low,55.6,2,DEMO_DATA,True
2020-01-11,paradip,24.0,medium,59.2,3,DEMO_DATA,True
2020-01-12,paradip,22.4,low,57.9,2,DEMO_DATA,True
2020-01-13,paradip,15.6,low,52.5,1,DEMO_DATA,True
2020-01-14,paradip,17.7,low,54.2,2,DEMO_DATA,True
2020-01-15,paradip,17.5,low,54.0,2,DEMO_DATA,True
2020-01-16,paradip,12.3,low,49.8,1,DEMO_DATA,True
2020-01-17,paradip,14.1,low,51.3,1,DEMO_DATA,True
2020-01-18,paradip,16.5,low,53.2,2,DEMO_DATA,True
2020-01-19,paradip,19.5,low,55.6,2,DEMO_DATA,True
2020-01-20,paradip,19.6,low,55.7,2,DEMO_DATA,True
2020-01-21,paradip,23.2,low,58.6,2,DEMO_DATA,True
2020-01-22,paradip,25.7,medium,60.5,3,DEMO_DATA,True
2020-01-23,paradip,20.6,low,56.5,2,DEMO_DATA,True
2020-01-24,paradip,25.3,medium,60.2,3,DEMO_DATA,True
2020-01-25,paradip,32.6,medium,66.1,4,DEMO_DATA,True
2020-01-26,paradip,20.2,low,56.1,2,DEMO_DATA,True
2020-01-27,paradip,22.5,low,58.0,2,DEMO_DATA,True
2020-01-28,paradip,23.4,low,58.7,2,DEMO_DATA,True
2020-01-29,paradip,22.4,low,57.9,2,DEMO_DATA,True
2020-01-30,paradip,21.1,low,56.9,2,DEMO_DATA,True
2020-01-31,paradip,25.7,medium,60.6,3,DEMO_DATA,True
2020-02-01,paradip,24.2,medium,59.4,3,DEMO_DATA,True
2020-02-02,paradip,28.3,medium,62.6,3,DEMO_DATA,True
2020-02-03,paradip,29.6,medium,63.7,3,DEMO_DATA,True
2020-02-04,paradip,35.0,medium,68.0,4,DEMO_DATA,True
2020-02-05,paradip,37.6,medium,70.1,4,DEMO_DATA,True
2020-02-06,paradip,52.3,high,81.9,6,DEMO_DATA,True
2020-02-07,paradip,39.7,medium,71.8,4,DEMO_DATA,True
2020-02-08,paradip,33.0,medium,66.4,4,DEMO_DATA,True
2020-02-09,paradip,35.3,medium,68.2,4,DEMO_DATA,True
